deputado,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Pauderney Avelino,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,5,0            ,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Paulo Abi-Ackel,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,5,1            ,5,0            ,0            ,1            ,0            ,0            ,5,0            ,5,0            ,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Paulo Azi,5,5,5,5,5,5,5,5,5,1            ,5,5,1            ,0            ,0            ,0            ,1            ,5,0            ,1            ,0            ,0            ,0            ,5,0            ,1            ,5,1            ,1            ,5,1            ,1            ,1            
Paulo Feijó,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,5,0            ,0            ,1            ,5,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Paulo Foletto,5,5,5,0            ,5,5,5,5,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Paulo Freire,1            ,5,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,5,0            ,0            ,1            ,5,0            ,1            ,5,0            ,0            ,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Paulo Magalhães,5,5,1            ,0            ,0            ,0            ,0            ,1            ,5,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,5,0            ,0            ,0            ,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Paulo Maluf,5,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,5,5,5,5,5,5,5,5,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,5,1            ,1            ,5,5,5,5
Paulo Martins,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,5,1            ,0            ,0            ,1            ,5,0            ,5,1            ,0            ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Paulo Pereira da Silva,5,0            ,1            ,0            ,0            ,0            ,5,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,5,5,5,5,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Paulo Pimenta,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3      ,3      ,3      ,3      ,3      ,3      ,0            ,3      ,3      ,3      ,0            ,3      ,3      ,0            
Paulo Teixeira,3      ,5,3      ,3      ,3      ,3      ,5,3      ,3      ,0            ,3      ,5,0            ,5,5,1            ,3      ,1            ,3      ,0            ,3      ,3      ,3      ,3      ,3      ,0            ,3      ,3      ,3      ,0            ,3      ,3      ,0            
Paulão,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,5,0            ,3      ,5,0            ,1            ,1            ,1            ,3      ,1            ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,0            ,3      ,3      ,3      ,0            ,3      ,3      ,0            
Pedro Chaves,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0            ,1            ,5,5,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Pedro Cunha Lima,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,5,0            ,1            ,0            ,0            ,5,1            ,0            ,0            ,1            ,0            ,0            ,0            ,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Pedro Fernandes,5,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,5,0            ,1            ,0            ,0            ,5,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Pedro Paulo,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Pedro Uczai,3      ,3      ,3      ,5,5,5,3      ,3      ,3      ,0            ,3      ,5,0            ,1            ,1            ,1            ,3      ,1            ,5,3      ,3      ,3      ,5,3      ,5,0            ,3      ,5,3      ,0            ,3      ,3      ,0            
Pedro Vilela,1            ,0            ,1            ,0            ,5,5,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,5,1            ,0            ,5,1            ,0            ,0            ,5,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Pepe Vargas,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,0            ,3      ,1            ,0            ,1            ,5,5,3      ,1            ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,0            ,3      ,3      ,3      ,0            ,3      ,3      ,0            
Pompeo de Mattos,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3      ,3      ,1            ,5,5,3      ,3      ,0            ,3      ,3      ,3      ,0            ,0            ,3      ,0            
Pr. Marco Feliciano,5,5,5,0            ,0            ,0            ,0            ,1            ,5,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,5,5,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Professora Dorinha Seabra Rezende,1            ,5,1            ,0            ,0            ,0            ,0            ,1            ,5,0            ,5,0            ,1            ,0            ,5,5,1            ,0            ,5,1            ,0            ,5,5,5,0            ,0            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Professora Marcivania,3      ,5,3      ,1            ,3      ,3      ,3      ,3      ,3      ,0            ,3      ,1            ,0            ,5,5,1            ,3      ,1            ,3      ,3      ,3      ,3      ,1            ,0            ,1            ,0            ,3      ,3      ,0            ,0            ,0            ,0            ,0            
Rafael Motta,5,5,1            ,0            ,5,5,0            ,5,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,5,0            ,0            ,0            ,5,0            ,1            ,5,5,1            ,1            ,1            ,1            ,1            
Raimundo Gomes de Matos,5,0            ,1            ,0            ,0            ,0            ,5,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Raquel Muniz,5,5,5,5,5,5,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Reginaldo Lopes,5,5,3      ,3      ,3      ,3      ,5,3      ,5,0            ,5,1            ,0            ,1            ,1            ,1            ,3      ,5,1            ,5,3      ,5,3      ,3      ,3      ,0            ,3      ,3      ,3      ,3      ,3      ,3      ,0            
Reinhold Stephanes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0            ,1            ,0            ,0            ,0            ,5,5,1            ,0            ,1            ,1            ,1            ,1            ,1            ,5
Remídio Monai,1            ,0            ,1            ,0            ,0            ,0            ,0            ,5,0            ,1            ,0            ,0            ,1            ,0            ,5,0            ,1            ,0            ,0            ,1            ,0            ,5,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Renata Abreu,1            ,5,1            ,0            ,0            ,0            ,0            ,1            ,5,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,5,5,5,5,5,5,5,5,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Renato Molling,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,5,1            ,0            ,0            ,0            ,1            ,0            ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Renzo Braz,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,5,5,5,5
Ricardo Bentinho,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,5,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Ricardo Izar,1            ,5,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,5,1            ,0            ,0            ,5,1            ,0            ,0            ,1            ,0            ,5,5,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Ricardo Teobaldo,1            ,5,1            ,0            ,0            ,0            ,0            ,1            ,5,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,5,0            ,5,0            ,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Ricardo Tripoli,1            ,0            ,1            ,0            ,5,5,0            ,5,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,5,5,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Roberto Alves,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Roberto Balestra,1            ,5,1            ,5,0            ,0            ,0            ,1            ,0            ,1            ,5,0            ,1            ,0            ,0            ,5,1            ,0            ,5,1            ,0            ,0            ,0            ,1            ,5,1            ,5,5,5,1            ,1            ,1            ,1            
Roberto Britto,1            ,0            ,1            ,5,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,5,1            ,0            ,5,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Roberto Freire,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,5,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Roberto Góes,1            ,0            ,1            ,5,5,5,5,5,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Roberto Sales,1            ,0            ,1            ,5,5,5,5,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,5,5,0            ,0            ,1            ,0            ,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Roberto de Lucena,1            ,0            ,1            ,0            ,5,5,5,1            ,5,1            ,0            ,5,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,5,0            ,5,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,0            
Rocha,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,1            ,0            ,0            ,0            ,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Rodrigo Maia,6        ,6        ,6        ,6        ,6        ,6        ,6        ,6        ,6        ,6        ,6        ,6        ,6        ,6        ,6        ,6        ,6        ,6        ,5,6        ,6        ,6        ,6        ,6        ,6        ,6        ,6        ,6        ,6        ,6        ,6        ,6        ,6        
Rodrigo Martins,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Rodrigo Pacheco,1            ,0            ,1            ,5,5,5,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,5,5,5,5,5,0            ,1            ,0            ,1            ,1            ,5,1            ,1            ,1            
Rodrigo de Castro,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Rogério Marinho,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,5,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,5,5,5,5,5,0            ,1            ,0            ,5,5,5,5,5,5
Rogério Peninha Mendonça,5,5,5,5,0            ,0            ,0            ,1            ,5,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,1            ,5,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Rogério Rosso,1            ,0            ,1            ,0            ,5,5,5,5,5,1            ,5,5,1            ,0            ,5,0            ,1            ,0            ,5,1            ,0            ,0            ,5,1            ,5,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Ronaldo Benedet,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,5,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Ronaldo Carletto,5,5,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Ronaldo Fonseca,1            ,0            ,1            ,0            ,0            ,0            ,5,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,5,5,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Ronaldo Lessa,3      ,3      ,3      ,1            ,3      ,3      ,3      ,3      ,3      ,0            ,3      ,1            ,0            ,1            ,1            ,1            ,3      ,1            ,3      ,3      ,1            ,3      ,3      ,3      ,3      ,0            ,3      ,5,5,5,5,5,5
Ronaldo Martins,5,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,5,0            ,1            ,0            ,5,5,5,0            ,0            ,1            ,0            ,0            ,5,1            ,0            ,1            ,0            ,1            ,1            ,5,5,5,5
Rosangela Gomes,1            ,0            ,1            ,5,0            ,0            ,5,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,5,1            ,0            ,5,1            ,0            ,5,5,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Rosinha da Adefal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0            ,5,5,0            ,5,1            ,0            ,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Rubens Bueno,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Rubens Otoni,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,0            ,3      ,1            ,0            ,1            ,5,5,5,5,3      ,3      ,3      ,3      ,5,3      ,3      ,0            ,3      ,3      ,5,5,5,5,5
Rubens Pereira Júnior,3      ,3      ,3      ,5,3      ,3      ,1            ,5,5,0            ,3      ,1            ,5,5,5,5,5,5,5,3      ,3      ,3      ,5,5,3      ,0            ,5,5,5,5,5,5,5
Rômulo Gouveia,1            ,5,1            ,0            ,0            ,0            ,0            ,1            ,5,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,5,5,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Rôney Nemer,1            ,5,1            ,0            ,0            ,0            ,5,1            ,0            ,0            ,5,0            ,1            ,0            ,0            ,0            ,1            ,5,0            ,1            ,5,5,5,1            ,0            ,0            ,0            ,5,1            ,1            ,1            ,5,1            
Sandes Júnior,5,5,1            ,5,5,5,0            ,5,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Sandro Alex,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,5,5,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Saraiva Felipe,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,1            ,1            ,0            ,0            ,1            ,5,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,0            
Sergio Souza,1            ,0            ,1            ,0            ,0            ,0            ,5,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,5,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Sergio Vidigal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3      ,3      ,3      ,5,3      ,3      ,3      ,0            ,5,5,5,5,5,5,5
Sergio Zveiter,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Shéridan,5,5,5,5,0            ,0            ,0            ,1            ,0            ,1            ,5,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Silas Câmara,5,0            ,1            ,0            ,0            ,0            ,0            ,5,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,5,5,0            ,0            ,1            ,0            ,1            ,5,5,1            ,1            ,1            ,1            ,1            
Silas Freire,0            ,5,0            ,1            ,1            ,1            ,1            ,5,1            ,4      ,1            ,1            ,5,0            ,1            ,1            ,5,5,5,0            ,5,5,0            ,0            ,1            ,0            ,0            ,0            ,0            ,0            ,0            ,5,5
Silvio Costa,1            ,5,1            ,5,1            ,1            ,0            ,1            ,0            ,1            ,5,5,1            ,0            ,0            ,0            ,5,5,0            ,1            ,0            ,5,0            ,5,0            ,1            ,0            ,1            ,5,5,5,5,1            
Silvio Torres,1            ,5,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,5,1            ,0            ,0            ,5,1            ,0            ,0            ,1            ,0            ,0            ,5,1            ,0            ,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
1one Morgado,5,5,5,5,5,5,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,5,5,5,5,5,1            ,5,1            ,5,5,5,5,5
1ão Ses1,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,5,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Soraya Santos,1            ,0            ,1            ,0            ,0            ,0            ,5,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,5,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Stefano Aguiar,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,5,5,5,1            ,1            ,1            ,1            
Subtenente Gonzaga,3      ,5,3      ,1            ,3      ,3      ,3      ,3      ,3      ,0            ,5,1            ,0            ,1            ,1            ,1            ,3      ,1            ,3      ,5,3      ,5,5,3      ,3      ,0            ,3      ,3      ,3      ,3      ,3      ,5,0            
Ságuas Moraes,3      ,3      ,3      ,5,3      ,3      ,3      ,3      ,3      ,0            ,3      ,1            ,0            ,1            ,1            ,1            ,3      ,1            ,3      ,3      ,3      ,3      ,5,5,3      ,0            ,3      ,3      ,3      ,0            ,3      ,0            ,0            
Sérgio Brito,1            ,5,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,5,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Sérgio Moraes,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,5,0            ,5,5,5,5,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Sóstenes Cavalcante,1            ,0            ,1            ,0            ,5,5,5,1            ,5,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Tadeu Alencar,1            ,5,5,0            ,0            ,0            ,1            ,5,5,0            ,1            ,5,0            ,0            ,5,1            ,4      ,5,0            ,1            ,0            ,0            ,5,1            ,0            ,0            ,5,0            ,0            ,0            ,1            ,0            ,0            
Takayama,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0            ,1            ,0            ,0            ,0            ,5,0            ,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Tampinha,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Tenente Lúcio,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,5,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Tereza Cristina,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,5,5,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Thiago Peixoto,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Tia Eron,1            ,5,1            ,0            ,0            ,0            ,0            ,5,0            ,1            ,5,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,5,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Tiririca,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Toninho Pinheiro,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,5,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Toninho Wandscheer,1            ,0            ,1            ,0            ,0            ,0            ,0            ,5,5,1            ,5,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,5,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Uldurico Junior,1            ,5,5,5,0            ,0            ,5,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,5,0            ,5,5,5,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Valdir Colatto,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Valmir Assunção,5,5,3      ,3      ,3      ,3      ,3      ,3      ,3      ,0            ,3      ,1            ,0            ,1            ,1            ,1            ,3      ,1            ,3      ,3      ,5,5,3      ,3      ,3      ,0            ,3      ,3      ,3      ,0            ,3      ,3      ,0            
Valmir Prascidelli,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,0            ,3      ,1            ,0            ,1            ,1            ,1            ,0            ,1            ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,0            ,3      ,3      ,5,5,5,5,5
Valtenir Pereira,1            ,0            ,1            ,0            ,5,5,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,5,0            ,1            ,0            ,5,0            ,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Vander Loubet,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,0            ,3      ,1            ,0            ,1            ,1            ,1            ,3      ,1            ,3      ,5,3      ,3      ,3      ,3      ,3      ,0            ,5,3      ,5,5,5,5,5
Vanderlei Macris,1            ,5,1            ,5,0            ,0            ,0            ,1            ,5,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,5,0            ,0            ,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Vicente Arruda,5,5,5,5,5,5,1            ,5,1            ,0            ,5,1            ,0            ,1            ,4      ,1            ,5,5,5,5,5,5,5,5,3      ,0            ,5,5,5,5,5,5,5
Vicente Candido,3      ,5,5,3      ,3      ,3      ,3      ,5,3      ,0            ,3      ,1            ,0            ,1            ,1            ,5,3      ,1            ,5,5,3      ,5,5,5,5,0            ,5,5,5,5,5,5,5
Vicentinho,3      ,5,3      ,3      ,3      ,3      ,3      ,3      ,3      ,0            ,3      ,1            ,0            ,1            ,1            ,1            ,3      ,1            ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,0            ,3      ,3      ,3      ,3      ,3      ,3      ,0            
Vicentinho Júnior,1            ,5,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,1            ,5,5,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Victor Mendes,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Vinicius Carvalho,1            ,5,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,5,5,5,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Vinicius Gurgel,5,5,5,5,0            ,0            ,5,5,5,1            ,5,5,1            ,0            ,0            ,5,1            ,0            ,5,5,0            ,5,5,1            ,5,1            ,0            ,1            ,1            ,1            ,5,5,1            
Vitor Lippi,1            ,5,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,5,5,5,0            ,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Vitor Valim,1            ,0            ,1            ,0            ,0            ,0            ,5,5,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,5,0            ,0            ,0            ,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
